poi_id,destination_id,name,category,lat,lon,avg_visit_minutes,price_level,popularity_score,description,open_hour,close_hour,wikidata_qid,wikipedia_title,sitelink_count,monthly_pageviews,description_source,hours_source,price_source,drop_reason,wikidata_types
POI0140,PAR,France 3,landmark,48.8389,2.27139,60,1,4.61,"France 3 (French: [fʁɑ̃s tʁwɑ]) is a French free-to-air public television network. The second flagship network of France Télévisions, it broadcasts a wide range of general and specialized programming. France 3 is structured as a regional service with 13 regions, each of which carrying programmes of regional interest alongside the national schedule.",8,20,Q1322641,France 3,36,3745.0,wikipedia,category_default,category_default,"organisation, not a place",television channel; television station
POI0141,PAR,Institut national des langues et civilisations orientales,culture,48.82739,2.37634,90,1,4.21,"The Institut national des langues et civilisations orientales (French pronunciation: [ɛ̃stity nɑsjɔnal de lɑ̃ɡ e sivilizɑsjɔ̃ ɔʁjɑ̃tal]; transl. ""National Institute for Oriental Languages and Civilizations""), abbreviated as INALCO, is a French grand établissement with a specializing in the teaching of languages and cultures from the world. Its coverage spans languages of Central Europe, Africa, Asia, America, and Oceania.",9,20,Q1430113,Institut national des langues et civilisations orientales,41,948.0,wikipedia,category_default,category_default,university or hospital,university; grand établissement; open-access publisher
POI0152,PAR,Paris Dauphine University,culture,48.870555,2.273889,90,1,4.12,"Paris Dauphine-PSL University (French: Université Paris Dauphine-PSL) is a Grande École and public institution of higher education and research based in Paris, France, constituent college of PSL University. As of 2022, Dauphine has 9,400 students in 8 fields of study (law, economics, finance, computer science, journalism, management, mathematics, social sciences), plus 3,800 in executive education. Its status as a grand établissement, adopted in 2004, allows it to select its students.",9,20,Q1546437,Paris Dauphine-PSL University,42,732.0,wikipedia,category_default,category_default,university or hospital,grand établissement; public university; university in France
POI0158,PAR,Paris Cité University,culture,48.852951,2.336785,90,1,4.36,"Paris Cité University (French: Université Paris Cité) is a public research university located in Paris, France. It was created by decree on 20 March 2019, resulting from the merger of Paris Descartes (Paris V) and Paris Diderot (Paris VII) universities, established following the division of the University of Paris in 1970. It was originally established as the University of Paris (French: Université de Paris), but was renamed by decree in March 2022 to its current name.",9,20,Q55849612,Paris Cité University,34,1768.0,wikipedia,category_default,category_default,university or hospital,university in France; public university
POI0163,PAR,Paris-Sorbonne University - Paris IV,culture,48.848333,2.342778,90,1,4.31,"Paris-Sorbonne University (also known as Paris IV; French: Université Paris-Sorbonne, Paris IV) was a public research university in Paris, France, active from 1971 to 2017. It was the main inheritor of the Faculty of Humanities of the University of Paris. In 2018, it merged with Pierre and Marie Curie University and some smaller entities to form a new university called Sorbonne University and became its Faculty of Arts and Humanities.",9,20,Q546118,Paris-Sorbonne University,34,1613.0,wikipedia,category_default,category_default,university or hospital,university in France; public university
POI0196,PAR,Sorbonne Nouvelle-Paris 3,culture,48.844889,2.396989,90,1,4.02,"Sorbonne Nouvelle University (French: Université Sorbonne Nouvelle, also known as Université Sorbonne Nouvelle – Paris 3, Paris 3, Sorbonne Nouvelle and the Sorbonne) is a public liberal arts and humanities university in Paris, France. It is one of the inheritors of the historic University of Paris, which was completely overhauled and restructured in 1970.",9,20,Q571293,Sorbonne Nouvelle University,33,766.0,wikipedia,category_default,category_default,university or hospital,academic publisher; publishing house; university in France; public university
POI0206,PAR,Paris Diderot University,culture,48.829722,2.380833,90,1,4.08,"Paris Diderot University (French: Université Paris Diderot), also known as Paris 7 (or Paris VII), was a French university located in Paris, France. It was one of the inheritors of the historic University of Paris, which was split into 13 universities in 1970. Paris Diderot merged with Paris Descartes University in 2019 to form the University of Paris, which was later renamed Paris Cité University.",9,20,Q1235608,Paris Diderot University,31,917.0,wikipedia,category_default,category_default,university or hospital,university in France; public university
POI0218,PAR,Paris Descartes University,culture,48.851389,2.340555,90,1,3.88,"Paris Descartes University (French: Université Paris 5 René Descartes), also known as Paris V, was a French public university located in Paris. It was one of the inheritors of the historic University of Paris, which was split into 13 universities in 1970. Paris Descartes completely merged with Paris Diderot University in 2019 to form a new Paris Cité University. It was established as a multidisciplinary university ""of humanities and health sciences"" (""des Sciences de l’Homme et de la Santé"".",9,20,Q1155944,Paris Descartes University,32,563.0,wikipedia,category_default,category_default,university or hospital,public research university; university in France; public university
POI0258,PAR,Stalingrad,landmark,48.884295,2.365967,60,1,3.94,"Stalingrad (French: [stalinɡʁad] ) is a Paris Métro station on the border between the 10th arrondissement and 19th arrondissement at the intersection of Lines 2, 5 and 7, located at the Place de la Bataille-de-Stalingrad, which is named after the Battle of Stalingrad.",8,20,Q1418821,Stalingrad station (Paris Metro),25,880.0,wikipedia,category_default,category_default,transit station,metro station; elevated station; underground station
POI0284,PAR,Gare de Châtelet – Les Halles,landmark,48.861389,2.346667,60,1,4.06,"Châtelet–Les Halles station (French: [ʃɑtlɛ le al]) is a major train hub in Paris and the largest underground station in the world. Opened in 1977, it is the central transit hub for the Paris metropolitan area, connecting three of five RER commuter-rail lines and five of sixteen Métro lines. The hub hosts 750,000 travellers per weekday (493,000 for the RER alone) and platforms separated by up to 800 metres (0.5 mi).",8,20,Q800627,Châtelet–Les Halles station,21,1479.0,wikipedia,category_default,category_default,transit station,underground railway station; S-Bahn station; railway station
POI0296,PAR,Franklin D. Roosevelt,landmark,48.869305,2.308309,60,1,3.76,"Franklin D. Roosevelt (French pronunciation: [fʁɑ̃klɛ̃ de ʁozvɛlt]) is a station on Lines 1 and 9 of the Paris Métro in the 8th arrondissement. With more than nine million passengers annually (2019), it is the nineteenth busiest station in the Paris Métro system.",8,20,Q1445234,Franklin D. Roosevelt station,25,589.0,wikipedia,category_default,category_default,transit station,metro station; underground station
POI0299,PAR,Paris-Bercy-Bourgogne-Pays-d'Auvergne railway station,landmark,48.839039,2.383081,60,1,3.81,"Gare de Paris Bercy, officially Gare de Paris Bercy Bourgogne – Pays d'Auvergne, is one of the seven mainline railway station terminals in Paris. It handles about 4.3 million passengers annually according to the estimates of the SNCF, making it the least busy mainline station in Paris. The station is located in the 12th arrondissement, on the right bank of the river Seine, in the east of Paris.",8,20,Q261320,Gare de Paris Bercy,24,707.0,wikipedia,category_default,category_default,transit station,dead-end railway station; railway station
POI0305,PAR,American University of Paris,culture,48.859,2.3037,90,1,3.91,"The American University of Paris (AUP) is a private university in Paris, France. Founded in 1962, the university is one of the oldest American institutions of higher education in Europe, and the first to be established in France. The university campus consists of seven buildings, centrally located in the 7th arrondissement of Paris, on the Left Bank near the Eiffel Tower, Les Invalides, and the Seine.",9,20,Q2716043,American University of Paris,13,1913.0,wikipedia,category_default,category_default,university or hospital,higher education institution; private university
POI0309,PAR,Porte Maillot,landmark,48.877965,2.281836,60,1,3.55,"Porte Maillot (French pronunciation: [pɔʁt majo]; lit. 'Maillot Gate') is a station on Line 1 of the Paris Métro. It is connected to the Neuilly–Porte Maillot railway station on the RER C and RER E, as well as a stop of tramway Line T3b. The station in its current form opened in 1937, replacing the original Porte Maillot station that opened in 1900 as the original terminus of Line 1. It serves the Palais des Congrès and has exits towards Neuilly-sur-Seine.",8,20,Q1344536,Porte Maillot station,26,370.0,wikipedia,category_default,category_default,transit station,metro station; underground station
POI0341,PAR,Concorde,landmark,48.866183,2.3233,60,1,3.47,"Concorde (French pronunciation: [kɔ̃kɔʁd] ) is a station on Lines 1, 8, and 12 of the Paris Métro. Serving the Place de la Concorde in central Paris, it is located in the 1st arrondissement. The station, along with Tuileries and Champs-Élysées–Clemenceau were closed from 17 June to 21 September for the 2024 Summer Olympics.",8,20,Q970075,Concorde station,26,299.0,wikipedia,category_default,category_default,transit station,metro station; underground station
POI0343,PAR,Hôtel de Ville,landmark,48.85759,2.351585,60,1,3.37,"Hôtel de Ville (French pronunciation: [otɛl də vil] , literally ""City Hall"") is a rapid transit station on lines 1 and 11 of the Paris Metro. It is named after the nearby Hôtel de Ville (City Hall) and is located within the fourth arrondissement of Paris.",8,20,Q968939,Hôtel de Ville station,28,208.0,wikipedia,category_default,category_default,transit station,metro station; underground station
POI0360,PAR,Bir-Hakeim,landmark,48.85388,2.28939,60,1,3.65,"Bir-Hakeim (French pronunciation: [biʁ akɛm]) is an elevated station on Line 6 of the Paris Métro on the Boulevard de Grenelle in the 15th arrondissement. It is situated on the left bank of the Pont de Bir-Hakeim over the Seine and is the closest Métro station to the Eiffel Tower. After being built in 1906 as ""Grenelle"", it was renamed together with the bridge to commemorate the World War II battle of Bir Hakeim. The signs on the station walls now say ""Bir-Hakeim — Tour Eiffel"".",8,20,Q1783899,Bir-Hakeim station,22,550.0,wikipedia,category_default,category_default,transit station,metro station; elevated station
POI0364,PAR,Gibbet of Montfaucon,landmark,48.877843,2.368078,60,1,4.49,"The Gibbet of Montfaucon (French: Gibet de Montfaucon) was the main gallows and gibbet of the Kings of France until the time of Louis XIII. It was used to execute criminals, often traitors, by hanging and to display their dead bodies as a warning to the population.",8,20,Q987914,Gibbet of Montfaucon,12,9350.0,wikipedia,category_default,category_default,demolished,gallows; destroyed building or structure
POI0370,PAR,Champs-Élysées - Clemenceau,landmark,48.867411,2.313959,60,1,3.44,"Champs-Élysées–Clemenceau (French pronunciation: [ʃɑ̃z‿elize klemɑ̃so]) is a station on Lines 1 and 13 of the Paris Métro in the 8th arrondissement. The station, along with Tuileries and Concorde were closed from 17 June to 21 September for the 2024 Summer Olympics.",8,20,Q1061527,Champs-Élysées–Clemenceau station,25,281.0,wikipedia,category_default,category_default,transit station,metro station; underground station
POI0402,BER,Humboldt-Universität zu Berlin,culture,52.518055,13.393333,90,1,4.97,"The Humboldt University of Berlin (German: Humboldt-Universität zu Berlin, abbreviated HU Berlin) is a public research university in the central borough of Mitte in Berlin, Germany. The university was established by Frederick William III on the initiative of Wilhelm von Humboldt, Johann Gottlieb Fichte and Friedrich Daniel Ernst Schleiermacher as the University of Berlin (Universität zu Berlin) in 1809, and opened in 1810.",9,20,Q152087,Humboldt University of Berlin,81,7695.0,wikipedia,category_default,category_default,university or hospital,comprehensive university; public research university; open-access publisher; University of Excellence
POI0417,BER,Technische Universität Berlin,culture,52.511944,13.326389,90,1,4.83,"Technische Universität Berlin (TU Berlin; also known as Berlin Institute of Technology and Technical University of Berlin, although officially the name should not be translated) is a public research university located in Berlin, Germany. It was the first German university to adopt the name Technische Universität (meaning 'university of technology').",9,20,Q51985,Technische Universität Berlin,50,2948.0,wikipedia,category_default,category_default,university or hospital,public research university; institute of technology; University of Excellence
POI0423,BER,Charité,culture,52.526944,13.377222,90,1,4.83,"The Charité – Universitätsmedizin Berlin (Charité – University Medicine Berlin; French: [ʃaʁite] ) is a public medical school and hospital in Berlin, Germany. It is the largest university hospital in Europe. The medical school is affiliated with Humboldt University of Berlin and Free University of Berlin. The Charité traces its origins to 1710.",9,20,Q162684,Charité,40,3785.0,wikipedia,category_default,category_default,university or hospital,university hospital; medical school; hospital
POI0436,BER,Berlin Central Station,landmark,52.525083,13.369389,60,1,4.88,"Berlin Hauptbahnhof () (English: Berlin Central Station) is the main railway station in Berlin, Germany. It came into full operation two days after a ceremonial opening on 26 May 2006. It is located on the site of the historic Lehrter Bahnhof, and on the Berlin S-Bahn suburban railway.",8,20,Q1097,Berlin Hauptbahnhof,48,4696.0,wikipedia,category_default,category_default,transit station,multi-level interchange railway station; central station; underground railway station; elevated station; underground station
POI0485,BER,Berlin University of the Arts,culture,52.509167,13.326945,90,1,4.45,"The Universität der Künste Berlin (UdK; also known in English as the Berlin University of the Arts), situated in Berlin, Germany, is the second largest art school in Europe. It is a public art and design school, and one of the four research universities in the city. The university is known for being one of the biggest and most diversified universities of the arts worldwide.",9,20,Q55038,Berlin University of the Arts,29,1100.0,wikipedia,category_default,category_default,university or hospital,music school; public university; art college
POI0492,BER,Berlin Ostbahnhof railway station,landmark,52.51,13.4347,60,1,4.44,"Berlin Ostbahnhof (German for Berlin East railway station) is a main line railway station in Berlin, Germany. It is located in the Friedrichshain quarter, now part of Friedrichshain-Kreuzberg borough, and has undergone several name changes in its history. It was known as Berlin Hauptbahnhof from 1987 to 1998, a name now applied to Berlin's new central station at the former Lehrter station.",8,20,Q683239,Berlin Ostbahnhof,26,1182.0,wikipedia,category_default,category_default,transit station,through station; inter-city rail station; station located on surface; dead-end railway station; S-Bahn station
POI0522,BER,Fasanenstrasse Synagogue,religion,52.50433,13.3284,30,0,3.69,"The Fasanenstrasse Synagogue was a former liberal Jewish congregation and synagogue, that was located at 79–80 Fasanenstrasse off Kurfürstendamm, in the affluent neighbourhood of Charlottenburg, in Berlin, Germany. Completed on 26 August 1912, the synagogue was located close to the Berlin Stadtbahn and Zoo Station. Closed by the Nazis in 1936, the synagogue was partially destroyed on Kristallnacht in 1938, and further devastated in 1943 during World War II, the result of an Allied air raid.",7,19,Q820001,Fasanenstrasse Synagogue,7,934.0,wikipedia,category_default,category_default,demolished,demolished synagogue
POI0544,BER,Berlin Südkreuz station,landmark,52.4756,13.3644,60,1,4.05,"Berlin Südkreuz station (German: Bahnhof Berlin Südkreuz, lit. 'Berlin South Cross') is a railway station in the German capital Berlin. The station was originally opened in 1898 and is an interchange station. The Berlin Ringbahn line of the Berlin S-Bahn metro railway is situated on the upper level and connects to the east and west, whilst the Anhalter Bahn and Dresdner Bahn intercity railway routes reach the station on the lower, north-south level.",8,20,Q376589,Berlin Südkreuz station,21,483.0,wikipedia,category_default,category_default,transit station,multi-level interchange railway station; interchange station; station located on surface; inter-city rail station
POI0563,BER,Hanns Eisler Music School Berlin,culture,52.513789,13.391286,90,1,3.97,"The Hochschule für Musik Hanns Eisler Berlin in Berlin, Germany, is one of the leading universities of music in Europe. It was established in East Berlin in 1950 as the Deutsche Hochschule für Musik (German: German Academy of Music) because the older Hochschule für Musik Berlin (now the Berlin University of the Arts) was in West Berlin. After the death in 1962 of one of its first professors, composer Hanns Eisler, the school was renamed in his honor in 1964.",9,20,Q569460,Hochschule für Musik Hanns Eisler Berlin,15,617.0,wikipedia,category_default,category_default,university or hospital,conservatory; public university
POI0589,BER,Hertie School,culture,52.518611,13.388056,90,1,4.0,"The Hertie School (until 2019 Hertie School of Governance) is a German private, independent graduate school for governance (public policy, international affairs and data science) located in Berlin. Hertie School is accredited to confer master's and doctoral degrees. Half of the school's students are international, with more than 95 countries represented among alumni and currently enrolled students. The working language is English.",9,20,Q317156,Hertie School,11,958.0,wikipedia,category_default,category_default,university or hospital,private Hochschule; Verwaltungshochschule; research institute; private university; organization; nonprofit organization
POI0600,BER,European School of Management and Technology,culture,52.5156,13.4011,90,1,3.74,"The European School of Management and Technology, also known as ESMT Berlin, is a private non-profit business school based in Berlin, Germany. The business school was founded in 2002 by 25 companies and institutions and offers a range of MBAs, master's degrees, and other degree and executive education programs. ESMT Berlin is regarded as one of the most prestigious business schools in Europe. It is one of four business schools in Germany with triple accreditation from EQUIS, AACSB, and AMBA.",9,20,Q569528,European School of Management and Technology,11,590.0,wikipedia,category_default,category_default,university or hospital,private university
POI0636,BER,Rundfunk im amerikanischen Sektor,landmark,52.480833,13.337222,60,1,3.82,Rundfunk im amerikanischen Sektor (RIAS; lit. 'Radio in the American Sector') was a radio and television station in the American Sector of Berlin during the Cold War. It was founded by the US occupational authorities after World War II in 1946 to provide the German population in and around Berlin with news and political reporting.,8,20,Q670693,Rundfunk im amerikanischen Sektor,15,443.0,wikipedia,category_default,category_default,"organisation, not a place",broadcaster; radio station
POI0649,BER,Berlin-Lichtenberg railway station,landmark,52.5106,13.4964,60,1,3.53,"Berlin-Lichtenberg is a railway station in Berlin, Germany. It is located on the Eastern Railway, Wriezen Railway and Berlin Frankfurter Allee–Berlin-Rummelsburg railway lines in the Lichtenberg district. The station is also part of the Berlin S-Bahn and U-Bahn (U5 line) network. During the division of the city, Lichtenberg with its extended railyards became the central transport facility of East Berlin, together with Berlin Ostbahnhof.",8,20,Q634247,Berlin-Lichtenberg station,16,242.0,wikipedia,category_default,category_default,transit station,inter-city rail station; through station; railway station
POI0663,BER,Bauakademie,landmark,52.5161,13.3989,60,1,3.78,"The Bauakademie (Building Academy, also known as the Schinkelsche Bauakademie) in Berlin, Germany, was a higher education institution for the art of building to train master builders. Founded on 18 March 1799 by King Frederick William III, the institution originated from the construction department of the Academy of Fine Arts and Mechanical Sciences (from 1704), which emphasized the aesthetic elements of the art of building while ignoring the technical.",8,20,Q51984,Bauakademie,13,504.0,wikipedia,category_default,category_default,university or hospital,destroyed building or structure; college; Bauakademie
POI0668,BER,Barenboim–Said Akademie,culture,52.5138,13.3913,90,1,3.24,"The Barenboim–Said Akademie (German: Barenboim-Said Akademie, Arabic: أكاديمية بارنبويم-سعيد, Hebrew: אקדמיית ברנבוים-סעיד) is an academy located in Berlin, Germany, offering bachelor's degrees and Artist Diploma certificates in music; it opened on 8 December 2016. It was co-founded by the conductor and pianist Daniel Barenboim and the literary theorist Edward Said.",9,20,Q18356619,Barenboim–Said Akademie,7,287.0,wikipedia,category_default,category_default,university or hospital,academy; private university
POI0669,BER,Bundestag metro station,landmark,52.520014,13.373005,60,1,3.49,Bundestag is a Berlin U-Bahn station located on the U5 line. The name of this station was changed in April 2006 from Reichstag to Bundestag to better reflect the physical location of the station and the function of nearby buildings.,8,20,Q694848,Bundestag (Berlin U-Bahn),15,247.0,wikipedia,category_default,category_default,transit station,underground station; Berlin U-Bahn station
POI0675,BER,Hotel Kaiserhof,landmark,52.5117,13.3854,60,1,3.99,"Hotel Kaiserhof was a luxury hotel in Wilhelmplatz, Berlin, Germany. It stood opposite the Reich Chancellery in what was then Berlin's government district. It opened in October 1875 and was destroyed by several Allied air raid bombings on 23 November 1943.",8,20,Q320591,Hotel Kaiserhof (Berlin),11,953.0,wikipedia,category_default,category_default,demolished,former hotel; destroyed building or structure
